trade_id,episode_num,episode_id,symbol,market,strategy_id,setup_tag,side,leverage,margin_usd,notional_entry,qty,entry_price,exit_price,entry_ts,entry_time_utc,exit_ts,exit_time_utc,gross_pnl,entry_fee,exit_fee,total_fees,funding_accrued,slip_entry_usd,slip_exit_usd,half_spread_entry_usd,half_spread_exit_usd,total_slippage_spread_usd,net_pnl,true_net_pnl,realized_R,roi_on_margin,hold_secs,hold_hours,exit_reason,regime,status,council_decision,analyst_vote,risk_vote,investor_vote,analyst_reasons,risk_reasons,investor_reasons
t_1788790396883_9b691f8fc0f6d9c4,1,ep_1788790395156_1,BTC-USD,crypto,tsmom,momentum,long,12,20.204876,242.458518,0.003064,79131.898415,79112.89434,1788790991900,2026-09-07 14:23:11 UTC,1788808971843,2026-09-07 19:22:51 UTC,-0.058228,0.121229,0.121262,0.242491,-0.003032,0.001602,0.001602,0.121229,0.121262,0.245695,-0.182521,-0.30375,-0.015056,-0.009034,17979.943,4.994429,time-stop,broad_up,CLOSED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788790396883_939ffb149b2ad1a6,1,ep_1788790395156_1,ETH-USD,crypto,tsmom,momentum,long,12,18.185491,218.22589,0.087759,2486.648272,2486.701626,1788790991900,2026-09-07 14:23:11 UTC,1788808971843,2026-09-07 19:22:51 UTC,0.004682,0.109113,0.109171,0.218284,-0.002729,0.001368,0.001369,0.109113,0.109171,0.22102,-0.107218,-0.21633,-0.009826,-0.005896,17979.943,4.994429,time-stop,broad_up,CLOSED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788790396883_20509be88fccd793,1,ep_1788790395156_1,SOL-USD,crypto,tsmom,momentum,long,12,11.249653,134.995842,1.291298,104.54276,104.386836,1788790991900,2026-09-07 14:23:11 UTC,1788808971843,2026-09-07 19:22:51 UTC,-0.201345,0.067498,0.067431,0.134929,-0.001686,0.000665,0.000664,0.067498,0.067431,0.136259,-0.270462,-0.33796,-0.04007,-0.024042,17979.943,4.994429,time-stop,broad_up,CLOSED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788790396883_b64d5df364a28412,1,ep_1788790395156_1,XRP-USD,crypto,tsmom,momentum,long,12,12.726318,152.71581,109.230493,1.398106,1.397073,1788790991900,2026-09-07 14:23:11 UTC,1788808971843,2026-09-07 19:22:51 UTC,-0.112805,0.076358,0.07634,0.152698,-0.001909,0.000801,0.0008,0.076358,0.07634,0.154299,-0.191054,-0.267411,-0.025021,-0.015012,17979.943,4.994429,time-stop,broad_up,CLOSED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788790396883_f6f2a192e0ee4f89,1,ep_1788790395156_1,DOGE-USD,crypto,tsmom,momentum,long,12,10.916,130.991998,1446.53518,0.090556,0.090399,1788790991900,2026-09-07 14:23:11 UTC,1788808971843,2026-09-07 19:22:51 UTC,-0.227228,0.065496,0.065415,0.130911,-0.001635,0.000636,0.000635,0.065496,0.065415,0.132182,-0.294279,-0.359775,-0.044931,-0.026959,17979.943,4.994429,time-stop,broad_up,CLOSED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788808972969_44490d431c9a9056,1,ep_1788790395156_1,BTC-USD,crypto,tsmom,momentum,long,12,3.334513,40.014161,0.000505,79261.553477,,1788809390667,2026-09-07 19:29:50 UTC,,OPEN,,0.020007,,0.020007,,0.000107,,0.020007,,0.020114,,,,,,,FORFEITED_ON_MANUAL_RESTART,broad_up,OPEN_FORFEITED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788808972969_9881965a3e42be24,1,ep_1788790395156_1,ETH-USD,crypto,tsmom,momentum,long,12,3.002119,36.02543,0.014452,2492.812125,,1788809390667,2026-09-07 19:29:50 UTC,,OPEN,,0.018013,,0.018013,,0.000092,,0.018013,,0.018104,,,,,,,FORFEITED_ON_MANUAL_RESTART,broad_up,OPEN_FORFEITED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788808972969_d7efe45d3c6ef096,1,ep_1788790395156_1,SOL-USD,crypto,tsmom,momentum,long,12,1.839324,22.071891,0.211899,104.162263,,1788809390667,2026-09-07 19:29:50 UTC,,OPEN,,0.011036,,0.011036,,0.000044,,0.011036,,0.01108,,,,,,,FORFEITED_ON_MANUAL_RESTART,broad_up,OPEN_FORFEITED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788808972969_3e8537f65831000a,1,ep_1788790395156_1,XRP-USD,crypto,tsmom,momentum,long,12,2.093187,25.118245,17.974969,1.397401,,1788809390667,2026-09-07 19:29:50 UTC,,OPEN,,0.012559,,0.012559,,0.000053,,0.012559,,0.012613,,,,,,,FORFEITED_ON_MANUAL_RESTART,broad_up,OPEN_FORFEITED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
t_1788808972969_a00fe0633b53acb7,1,ep_1788790395156_1,DOGE-USD,crypto,tsmom,momentum,long,12,1.794676,21.536117,238.984258,0.090115,,1788809390667,2026-09-07 19:29:50 UTC,,OPEN,,0.010768,,0.010768,,0.000042,,0.010768,,0.01081,,,,,,,FORFEITED_ON_MANUAL_RESTART,broad_up,OPEN_FORFEITED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NONE,NONE,NONE
